Reference,Entry in reference,Analysis description ,# of effect sizes,tau,tau^2,Q,I^2,Type of ES,Test for publication bias,Publication bias? ,Publication bias recoded
Snyder 2013,1,inhibition,48,0.3,0.09,109.67,57.14415975,Cohen's d,trim-and-fill,no,0
Snyder 2013,2,shifting,69,0.244948974,0.06,133.83,49.18926997,Cohen's d,trim-and-fill,no,0
Snyder 2013,3,updating,10,0.509901951,0.26,35.22,74.44633731,Cohen's d,trim-and-fill,no,0
Snyder 2013,4,verbal working memory,39,0.2,0.04,65.59,42.06433908,Cohen's d,trim-and-fill,no,0
Snyder 2013,5,visuospatial working memory,23,0.223606798,0.05,38.01,42.12049461,Cohen's d,trim-and-fill,no,0
Snyder 2013,6,planning,17,0.173205081,0.03,23.4,31.62393162,Cohen's d,trim-and-fill,no,0
Snyder 2013,7,verbal fluency,46,0.264575131,0.07,100.43,55.19267151,Cohen's d,trim-and-fill,no,0
Snyder 2013,8,psychomotor speed,23,0.331662479,0.11,63.24,65.21189121,Cohen's d,trim-and-fill,no,0
Snyder 2013,9,digit-symbol substitution,22,0.412310563,0.17,88.76,76.34069401,Cohen's d,trim-and-fill,no,0
Snyder 2013,10,vocabulary,36,0.173205081,0.03,47.81,26.79355783,Cohen's d,trim-and-fill,no,0
Uttal et al. 2013,1,training spatial skills,206,0.430116263,0.185,,,Hedges' g,fail-safe N,no,0
Sweeny & Krizan 2013,1,temporal decline in expectations,71,0.4,0.16,3339.5,97.90387783,Cohen's d,fail-safe N/trim-and-fill,yes,1
Balliet & van Lange 2013,1,expectations and cooperation,142,0.346410162,0.12,,,Pearson's r,trim-and-fill/Egger test,no,0
Balliet & van Lange 2013,2,trust and cooperation,60,0.173205081,0.03,,,Pearson's r,trim-and-fill/Egger test,no,0
Freund & Kasten 2012,1,self-estimates of cognitive ability,154,0.122474487,0.015,,,Pearson's r,funnel plot,no,0
Richardson et al. 2012,1,socioeconomic status and GPA,21,0,0,221.26,90.96086053,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,2,sex and GPA,21,0.01,0.0001,121.9,83.59310911,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,3,age and GPA,17,0.01,0.0001,353.49,95.47370506,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,4,high school GPA and GPA,46,0.03,0.0009,1368.25,96.71112735,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,5,SAT and GPA,29,0.01,0.0001,258.59,89.17204842,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,6,ACT and GPA,21,0.01,0.0001,314.49,93.64049731,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,7,A level points and GPA,4,0.01,0.0001,12.07,75.14498757,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,8,intelligence and GPA,35,0.01,0.0001,117.94,71.17178226,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,9,conscientiousness and GPA,69,0,0,165.12,58.81782946,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,10,procrastination and GPA,10,0,0,13.77,34.64052288,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,11,openness and GPA,52,0,0,118.6,56.99831366,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,12,neuroticism and GPA,58,0.01,0.0001,163.7,65.1802077,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,13,agreeableness and GPA,47,0,0,103.05,55.36147501,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,14,extraversion and GPA,58,0,0,137.35,58.50018202,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,15,need for cognition and GPA,5,0.01,0.0001,22.08,81.88405797,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,16,emotional intelligence and GPA,14,0,0,21.37,39.16705662,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,17,locus of control and GPA,13,0.02,0.0004,44.85,73.24414716,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,18,pessimistic attributional style and GPA,8,0.03,0.0009,26.89,73.96801785,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,19,optimism and GPA,6,0,0,7.46,32.97587131,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,20,academic self-efficacy and GPA,67,0.01,0.0001,497.07,86.72219205,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,21,performance self-efficacy and GPA,4,0,0,10.63,71.77798683,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,22,self-esteem and GPA,21,0.01,0.0001,40.54,50.66600888,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,23,academic intrinsic motivation and GPA,22,0.02,0.0004,137.81,84.76162833,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,24,academic extrinsic motivation and GPA,10,0.01,0.0001,21.91,58.92286627,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,25,learning goal orientation and GPA,60,0,0,114.25,48.35886214,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,26,performance goal orientation and GPA,60,0.01,0.0001,184.97,68.10293561,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,27,performance avoidance goal orientation and GPA,31,0.01,0.0001,113.73,73.62173569,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,28,grade goal and GPA,13,0.01,0.0001,37.75,68.21192053,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,29,test anxiety and GPA,29,0.01,0.0001,93.4,70.02141328,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,30,rehearsal and GPA,11,0.02,0.0004,45.57,78.05573842,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,31,organization and GPA,6,0,0,18.38,72.79651795,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,32,elaboration and GPA,12,0.01,0.0001,58,81.03448276,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,33,critical thinking and GPA,9,0,0,5.39,0,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,34,metacognition and GPA,9,0,0,30.18,73.49237906,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,35,effort regulation and GPA,19,0,0,21.2,15.09433962,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,36,help seeking and GPA,8,0.01,0.0001,15.71,55.44239338,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,37,peer learning and GPA,4,0.02,0.0004,28.6,89.51048951,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,38,time/study management and GPA,7,0,0,17.1,64.9122807,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,39,concentration and GPA,12,0,0,12.77,13.86061081,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,40,deep approach to learning and GPA,23,0,0,54.82,59.86866107,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,41,surface approach to learning and GPA,22,0.07,0.0049,190.31,88.96537229,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,42,strategic approach to learning and GPA,15,0.02,0.0004,50.09,72.05030944,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,43,social integration and GPA,15,0.01,0.0001,111.98,87.49776746,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,44,academic integration and GPA,11,0.01,0.0001,134.96,92.59039715,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,45,institutional integration and GPA,18,0,0,51.42,66.93893427,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,46,goal commitment and GPA,10,0,0,53.03,83.02847445,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,47,social support and GPA,14,0,0,36.26,64.14782129,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,48,stress and GPA,8,0,0,12.03,41.81213633,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,49,academic stress and GPA,4,0,0,5.89,49.06621392,Corrected Pearson's r,trim-and-fill,yes,1
Richardson et al. 2012,50,depression and GPA,17,0.01,0.0001,92.91,82.77903347,Corrected Pearson's r,trim-and-fill,yes,1
Byron & Khazanchi 2012,1,creativity contingent rewards and creativity,34,0.331662479,0.11,93.3,64.63022508,Hedges' g,NA,NA,NA
Byron & Khazanchi 2012,2,performance contingent rewards and creativity,26,0.387298335,0.15,85.38,70.71913797,Hedges' g,NA,NA,NA
Byron & Khazanchi 2012,3,completion contingent rewards and creativity,18,0.264575131,0.07,32.08,47.0074813,Hedges' g,NA,NA,NA
Byron & Khazanchi 2012,4,creativity contingent rewards and creativity (nonexperimental studies),8,0,0,3.9,0,Pearson's r,NA,NA,NA
Lanaj et al. 2012,1,work-related outcomes,125,0.26,0.0676,1164.15,89.34845166,Corrected Pearson's r,publication status as moderator,yes,1
Else-Quest et al. 2012,1,guilt,307,0.11,0.0121,2119.94,85.56562922,Cohen's d,NA,NA,NA
Else-Quest et al. 2012,2,shame,232,0.1,0.01,1627.12,85.80313683,Cohen's d,NA,NA,NA
Else-Quest et al. 2012,3,embarrassment,48,0.12,0.0144,581.54,91.9180108,Cohen's d,NA,NA,NA
Else-Quest et al. 2012,4,authentic pride,93,0.04,0.0016,749.66,87.72776992,Cohen's d,NA,NA,NA
Else-Quest et al. 2012,5,hubristic pride,17,0.12,0.0144,250.45,93.6114993,Cohen's d,NA,NA,NA
Sedlmeier et al. 2012,1,combined psychological variables,125,0.088317609,0.0078,,,Pearson's r,fail-safe N,yes,1
Murayama & Elliot 2012,1,trait competitiveness,65,0.1,0.01,,,Pearson's r,NA,NA,NA
Murayama & Elliot 2012,2,perceived environmental competitiveness,33,0.141421356,0.02,,,Pearson's r,NA,NA,NA
Murayama & Elliot 2012,3,structural competition,81,0.469041576,0.22,,,Hedges' g,NA,NA,NA
Hostetter 2011,1,gestures and communication,63,0.411096096,0.169,153.59,59.63278859,Cohen's d,fail-safe N,no,0
Sitzmann & Ely 2011,1,goal level,24,0.173205081,0.03,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,2,planning,9,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,3,monitoring,12,0.223606798,0.05,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,4,metacognition,77,0.141421356,0.02,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,5,attention,39,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,6,learning strategies,72,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,7,persistence,30,0.173205081,0.03,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,8,time management,31,0,0,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,9,environmental structuring,6,0,0,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,10,help seeking,24,0.2,0.04,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,11,pretraining motivation,52,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,yes,1
Sitzmann & Ely 2011,12,motivation,67,0.173205081,0.03,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,13,emotion control,9,0,0,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,14,effort,61,0.2,0.04,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,15,attributions,35,0.141421356,0.02,,,Corrected Pearson's r,publication status as moderator,no,0
Sitzmann & Ely 2011,16,pretraining self-efficacy,86,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,yes,1
Sitzmann & Ely 2011,17,self-efficacy,160,0.2,0.04,,,Corrected Pearson's r,publication status as moderator,yes,1
Balliet et al. 2011,1,punishment and cooperation,126,0.53,0.2809,1322,90.54462935,Cohen's d,trim-and-fill/fail-safe N,no,0
Balliet et al. 2011,2,rewards and cooperation,33,0.45,0.2025,130.24,75.42997543,Cohen's d,trim-and-fill/fail-safe N,no,0
Haedt-Matt & Keel 2011,1,pre-binge vs. average negative affect,17,0.325576412,0.106,69.62,77.01809825,Standardized mean gains,fail-safe N,no,0
Haedt-Matt & Keel 2011,2,pre-binge vs. pre-regular eating negative affect,14,0.487852437,0.238,93.25,86.05898123,Standardized mean gains,fail-safe N,no,0
Haedt-Matt & Keel 2011,3,post-binge vs. pre-binge negative affect,14,0.2,0.04,30.86,57.8742709,Standardized mean gains,fail-safe N,no,0
Haedt-Matt & Keel 2011,4,purging and negative affect,3,0.164316767,0.027,3.59,44.28969359,Standardized mean gains,fail-safe N,yes,1
Haedt-Matt & Keel 2011,5,pre-binge and post-purge negative affect,3,0,0,1.02,0,Standardized mean gains,fail-safe N,yes,1
Koenig et al. 2011,1,think manager-think male paradigm (men-leaders),51,0.26,0.0676,321.65,84.45515312,Cohen's d,trim-and-fill/egger test,no,0
Koenig et al. 2011,2,think manager-think male paradigm (women-leaders),49,0.22,0.0484,241.77,80.14642015,Cohen's d,trim-and-fill/egger test,no,0
Koenig et al. 2011,3,agency-communion paradigm,48,0.55,0.3025,615.79,92.36752789,Hedges' g,trim-and-fill/egger test,yes,1
Koenig et al. 2011,4,masculinity-femininity paradigm,101,0.51,0.2601,223.09,55.17504146,Hedges' g,trim-and-fill/egger test,no,0
Hartwig & Bond Jr. 2011,1,response length,19,0.18,0.0324,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,2,details,5,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,3,sensory information,3,0.38,0.1444,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,4,block access to information,11,0.25,0.0625,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,5,response latency,16,0.2,0.04,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,6,speech rate,15,0.24,0.0576,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,7,plausibility,11,0.21,0.0441,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,8,logical structure,7,0.12,0.0144,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,9,ambivalent,7,0.41,0.1681,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,10,involved,5,0.23,0.0529,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,11,verbal and vocal involvement,5,0.14,0.0196,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,12,expressive face,6,0.17,0.0289,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,13,illustrators,9,0.36,0.1296,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,14,verbal immediacy,2,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,15,self references,11,0.23,0.0529,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,16,mutual references,2,0.2,0.04,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,17,other references,3,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,18,vocal immediacy,13,0.22,0.0484,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,19,eye contact,19,0.05,0.0025,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,20,gaze aversion,5,0.06,0.0036,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,21,vocal uncertainty,10,0.25,0.0625,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,22,shrugging,6,0.07,0.0049,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,23,non-ah disturbances,8,0.11,0.0121,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,24,unfilled pauses,13,0.22,0.0484,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,25,ah disturbances,14,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,26,total disturbances,11,0.02,0.0004,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,27,non fluent,9,0.19,0.0361,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,28,active body,3,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,29,postura shifts,12,0.04,0.0016,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,30,head movements,9,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,31,hand gestures,10,0.07,0.0049,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,32,arm movements,2,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,33,foot/leg movements,5,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,34,friendly,13,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,35,cooperative,14,0.29,0.0841,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,36,attractive,20,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,37,negative statements,9,0.29,0.0841,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,38,pleasant voice,2,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,39,pleasant face,6,0.22,0.0484,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,40,head nodding,5,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,41,smiling,21,0.26,0.0676,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,42,nervous,15,0.24,0.0576,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,43,pitch,5,0.22,0.0484,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,44,relaxed posture,2,0.43,0.1849,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,45,blinking,8,0.01,0.0001,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,46,object fidgeting,2,0.52,0.2704,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,47,self-fidgeting,11,0.15,0.0225,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,48,facial fidgeting,3,0.27,0.0729,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,49,fidgeting,9,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,50,self-deprecating,4,0.27,0.0729,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,51,embedding,2,0.47,0.2209,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,52,behavior segments,3,0.16,0.0256,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,53,realistic,2,0.23,0.0529,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,54,indifferent,3,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,55,not spontaneous,2,0.29,0.0841,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,56,thinking hard,4,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,57,serious,4,0.27,0.0729,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,58,competent,6,0.32,0.1024,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,59,ingratiating,2,0,0,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,60,admit responsibility,2,0.15,0.0225,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,61,nonverbal deception pose,12,0.04,0.0016,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,62,verbal deception pose,10,0.21,0.0441,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,63,messy clothes,2,0.32,0.1024,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,64,weird behaviors,7,0.25,0.0625,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,65,foreign language,5,0.45,0.2025,,,Pearson's r,NA,NA,NA
Hartwig & Bond Jr. 2011,66,baby face,14,0.23,0.0529,,,Pearson's r,NA,NA,NA
Szalma & Hancock 2011,1,performance,797,0.905538514,0.82,,,Hedges' g,NA,NA,NA
"Balliet, Li et al. 2011",1,sex and cooperation,176,0.29,0.0841,637.21,72.53652642,Cohen's d,trim-and-fill/egger test,no,0
Petersen & Hyde 2010,1,petting (I),38,0.223606798,0.05,1241.47,97.01966217,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,2,intercourse (F),49,0.316227766,0.1,966.19,95.03203304,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,3,intercourse (I),394,0.264575131,0.07,12513.17,96.85930903,Cohen's d,Egger test,yes,1
Petersen & Hyde 2010,4,age at first sex,127,0.608276253,0.37,15717.98,99.19837027,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,5,number of partners,256,0.282842712,0.08,8672.43,97.05964764,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,6,oral sex (I/F),81,0.1,0.01,693.05,88.4568213,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,7,anal sex (I/F),72,0.141421356,0.02,1083.23,93.44552865,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,8,casual sex (I/F),69,0.331662479,0.11,3199.99,97.87499336,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,9,same-gender sex (I/F),76,0.141421356,0.02,1413.68,94.69469753,Cohen's d,Egger test,yes,1
Petersen & Hyde 2010,10,extramarital sex (I/F),30,0.3,0.09,715.46,95.94666368,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,11,condom use (I/F),278,0.223606798,0.05,6405.56,95.67563179,Cohen's d,Egger test,no,0
Petersen & Hyde 2010,12,masturbation (I/F),66,0.509901951,0.26,2518.13,97.41871945,Cohen's d,Egger test,no,0
