Reference,Entry in reference,Analysis description ,# of effect sizes,tau,tau^2,Q,I^2,Type of ES,Test for publication bias,Publication bias? ,Publication bias recoded
DeNeve & Cooper 1998,47,self-efficacing - masochistic and agreeableness,2,0.16,0.0256,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,48,sensitivity and agreeableness,5,0.26,0.0676,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,49,sensitivity to social rejection and agreeableness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,50,social desirability and agreeableness,21,0.18,0.0324,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,51,social emotionality and agreeableness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,52,social endurance and agreeableness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,53,social interest and agreeableness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,54,social plasticity and agreeableness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,55,social recognition and agreeableness,4,0.18,0.0324,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,56,social tempo and agreeableness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,57,succorance and agreeableness,4,0.17,0.0289,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,58,tolerance and agreeableness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,59,tough poise and agreeableness,2,0.08,0.0064,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,60,trust and agreeableness,3,0.11,0.0121,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,61,understanding and agreeableness,4,0.16,0.0256,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,62,warmth and agreeableness,4,0.05,0.0025,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,63,achievement and conscientiousness,9,0.16,0.0256,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,64,autonomy and conscientiousness,9,0.15,0.0225,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,65,blameavoidance and conscientiousness,4,0.11,0.0121,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,66,competence and conscientiousness,2,0.08,0.0064,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,67,conscientiousness and conscientiousness,3,0.1,0.01,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,68,constraint and conscientiousness,5,0.07,0.0049,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,69,control and conscientiousness,4,0.18,0.0324,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,70,counteraction and conscientiousness,6,0.23,0.0529,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,71,deliberate and conscientiousness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,72,desire for control and conscientiousness,5,0.12,0.0144,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,73,directive and conscientiousness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,74,efficacy and conscientiousness,4,0.19,0.0361,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,75,endurance and conscientiousness,6,0.19,0.0361,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,76,impulsivity and conscientiousness,12,0.08,0.0064,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,77,independence and conscientiousness,2,0.07,0.0049,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,78,inhibition and conscientiousness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,79,internal locus of control and conscientiousness,66,0.17,0.0289,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,80,locus of control - chance and conscientiousness,6,0.08,0.0064,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,81,locus of control - powerful others and conscientiousness,6,0.07,0.0049,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,82,managerial - autocratic and conscientiousness,2,0.04,0.0016,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,83,order and conscientiousness,6,0.14,0.0196,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,84,perceived control and conscientiousness,19,0.21,0.0441,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,85,plasticity and conscientiousness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,86,reactance and conscientiousness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,87,rule conscious and conscientiousness,2,0.02,0.0004,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,88,self-sufficiency and conscientiousness,4,0.24,0.0576,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,89,affect intensity and neuroticism,2,0.1,0.01,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,90,aggression and neuroticism,4,0.18,0.0324,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,91,aggressive - sadistic and neuroticism,2,0.04,0.0016,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,92,anger and neuroticism,4,0.11,0.0121,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,93,anxiety and neuroticism,12,0.33,0.1089,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,94,death anxiety and neuroticism,4,0.11,0.0121,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,95,death concern - negative evaluation of death and neuroticism,2,0.07,0.0049,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,96,defendence and neuroticism,4,0.11,0.0121,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,97,depression and neuroticism,2,0.01,0.0001,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,98,distress and neuroticism,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,99,emotional stability and neuroticism,6,0.19,0.0361,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,100,fear and neuroticism,2,0.05,0.0025,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,101,general emotionality and neuroticism,6,0.26,0.0676,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,102,guilt-proneness and neuroticism,4,0.12,0.0144,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,103,hostility and neuroticism,3,0.37,0.1369,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,104,negative affectivity and neuroticism,7,0.41,0.1681,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,105,neuroticism and neuroticism,41,0.19,0.0361,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,106,objectivity and neuroticism,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,107,psychoticism and neuroticism,5,0.08,0.0064,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,108,rebellious - distrustful and neuroticism,2,0.18,0.0324,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,109,repressive defensiveness and neuroticism,4,0.28,0.0784,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,110,self-consciousness and neuroticism,2,0.01,0.0001,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,111,social anxiety and neuroticism,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,112,tension and neuroticism,4,0.16,0.0256,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,113,vulnerability and neuroticism,2,0.02,0.0004,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,114,automatic thoughts - general and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,115,automatic thoughts - positive and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,116,belief in a just world and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,117,conceptual level and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,118,creative and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,119,death concern - preoccupation with thoughts and openness,2,0.06,0.0036,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,120,intelligence and openness,19,0.06,0.0036,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,121,mental absorption and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,122,novelty seeking and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,123,openness to action and openness,2,0.01,0.0001,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,124,openness to aesthetics and openness,2,0,0,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,125,openness to experience and openness,9,0.08,0.0064,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,126,openness to fantasy and openness,2,0.07,0.0049,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,127,openness to feeling and openness,2,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,128,openness to ideas and openness,2,0,0,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,129,openness to values and openness,2,0.01,0.0001,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,130,practicality and openness,4,0.26,0.0676,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,131,radicalism and openness,2,0.08,0.0064,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,132,rigidity and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,133,rule-free and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,134,self-confidence and openness,2,0.05,0.0025,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,135,self-respect and openness,2,0.07,0.0049,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,136,sentience and openness,4,0.17,0.0289,,,Weighted Pearson's r,NA,NA,NA
DeNeve & Cooper 1998,137,thoughtfulness and openness,1,,,,,Weighted Pearson's r,NA,NA,NA
Stajkovic & Luthans 1998,1,self-efficacy and work-related perfomance,157,0.169779268,0.028825,1129.08,86.18344139,Corrected Pearson's r,NA,NA,NA
Wampold et al. 1997,1,differences psychotherapies,277,0.016124515,0.00026,241.18,0,Cohen's d,NA,NA,NA
Brown 1996,1,work ethic endorsement,13,0.157,0.024649,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,2,locus of control,22,0.172,0.029584,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,3,self-esteem,5,0.156,0.024336,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,4,growth need strength,7,0.16,0.0256,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,5,internal motivation,19,0.205,0.042025,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,6,autonomy,18,0.168,0.028224,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,7,skill variety,15,0.186,0.034596,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,8,task identity,14,0.09,0.0081,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,9,feedback,13,0.129,0.016641,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,10,task significance,8,0.09,0.0081,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,11,job challenge,6,0.096,0.009216,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,12,task complexity,5,0.136,0.018496,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,13,motivating potential,7,0.108,0.011664,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,14,hierarchical level,8,0.352,0.123904,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,15,consideration,9,0.078,0.006084,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,16,participation,9,0.117,0.013689,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,17,communication,5,0.116,0.013456,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,18,role conflict,27,0.12,0.0144,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,19,role ambiguity,32,0.192,0.036864,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,20,age,50,0.145,0.021025,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,21,organizational tenure,30,0.13,0.0169,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,22,education,29,0.094,0.008836,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,23,sex,25,0.129,0.016641,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,24,salary,14,0.142,0.020164,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,25,marital status,6,0.082,0.006724,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,26,career commitment,10,0.294,0.086436,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,27,work involvement,6,0.13,0.0169,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,28,overall performance,25,0.089,0.007921,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,29,absenteeism,17,0.125,0.015625,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,30,turnover,11,0.181,0.032761,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,31,effort,7,0.196,0.038416,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,32,general satisfaction,87,0.159,0.025281,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,33,work satisfaction,20,0.119,0.014161,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,34,supervisor satisfaction,19,0.113,0.012769,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,35,coworker satisfaction,17,0.101,0.010201,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,36,pay satisfaction,16,0.142,0.020164,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,37,promotion satisfaction,10,0.037,0.001369,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,38,organizational commitment,71,0.181,0.032761,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,39,turnover intentions,23,0.158,0.024964,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,40,work-family conflict,6,0.393,0.154449,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,41,job stress,10,0.175,0.030625,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,42,anxiety,5,0.098,0.009604,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,43,somatic health complaints,5,0.08,0.0064,,,Corrected Pearson's r,NA,NA,NA
Brown 1996,44,life satisfaction,6,0.117,0.013689,,,Corrected Pearson's r,NA,NA,NA
Kluger & DeNisi 1996,1,feedback interventions and performance,607,0.98488578,0.97,,,Weighted Cohen's d,NA,NA,NA
See et al. 1995,1,sensitivity decrement in vigilance,42,0.45,0.2025,,,Unweighted mean,NA,NA,NA
Sporer et al. 1995,1,confidence-accuracy relation in eyewitness identification,30,0.12,0.0144,,,Unweighted Pearson's r,NA,NA,NA
Tracey & Rounds 1993,1,Gati,58,0.19,0.0361,,,Unweighted mean,NA,NA,NA
Tracey & Rounds 1993,2,Holland,58,0.18,0.0324,,,Unweighted mean,NA,NA,NA
Tracey & Rounds 1993,3,Hollgat,58,0.17,0.0289,,,Unweighted mean,NA,NA,NA
Ambady & Rosenthal 1992,1,expressive behavior as predictor of interpersonal consequences,45,0.19,0.0361,,,Weighted Pearson's r,NA,NA,NA
Spangler 1992,1,questionnaire: respondent,89,0.17,0.0289,,,Pearson's r,NA,NA,NA
Spangler 1992,2,questionnaire: semioperant,92,0.24,0.0576,,,Pearson's r,NA,NA,NA
Spangler 1992,3,questionnaire: operant,12,0.13,0.0169,,,Pearson's r,NA,NA,NA
Spangler 1992,4,TAT: respondent,108,0.18,0.0324,,,Pearson's r,NA,NA,NA
Spangler 1992,5,TAT: semioperant,45,0.3,0.09,,,Pearson's r,NA,NA,NA
Spangler 1992,6,TAT: operant,37,0.22,0.0484,,,Pearson's r,NA,NA,NA
Durlak et al. 1991,1,behavioral observation,58,0.82,0.6724,,,Cohen's d,comparing published and unpublished studies,no,0
Durlak et al. 1991,2,peer rating-sociometric,19,0.29,0.0841,,,Cohen's d,comparing published and unpublished studies,no,0
Durlak et al. 1991,3,expert rating,8,0.84,0.7056,,,Cohen's d,comparing published and unpublished studies,no,0
Durlak et al. 1991,4,normed measures,51,0.62,0.3844,,,Cohen's d,comparing published and unpublished studies,no,0
Durlak et al. 1991,5,unnormed measures,74,0.71,0.5041,,,Cohen's d,comparing published and unpublished studies,no,0
Durlak et al. 1991,6,achievement-intellectual test,20,0.43,0.1849,,,Cohen's d,comparing published and unpublished studies,no,0
Durlak et al. 1991,7,cognitive performance measure,78,0.87,0.7569,,,Cohen's d,comparing published and unpublished studies,no,0
Durlak et al. 1991,8,objective performance measure,4,0.79,0.6241,,,Cohen's d,comparing published and unpublished studies,no,0
Hardaway 1990,1,mommy and I are one,72,0,0,,,Cohen's d,fail-safe N,no,0
Hardaway 1990,2,other mommy stimuli,19,0,0,,,Cohen's d,fail-safe N,no,0
Hardaway 1990,3,other oneness stimuli,20,0,0,,,Cohen's d,fail-safe N,no,0
Raz & Raz 1990,1,lateral or total ventricular volume,53,0.54,0.2916,,,Cohen's d,NA,NA,NA
Raz & Raz 1990,2,third ventricular dilation,23,0.56,0.3136,,,Cohen's d,NA,NA,NA
Raz & Raz 1990,3,mood disorders,18,0.43,0.1849,,,Cohen's d,NA,NA,NA
Mathieu & Zajac 1990,1,age,41,0.103,0.010609,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,2,sex,14,0.165,0.027225,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,3,education,22,0.137,0.018769,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,4,marital status,6,0.02,0.0004,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,5,position tenure,8,0.076,0.005776,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,6,organizational tenure,38,0.113,0.012769,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,7,perceived personal competence,5,0.072,0.005184,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,8,ability,3,,,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,9,salary,7,0.036,0.001296,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,10,protestant work ethic,7,0.195,0.038025,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,11,job level,13,0.161,0.025921,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,12,skill variety,6,0.099,0.009801,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,13,task autonomy,3,0.201,0.040401,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,14,challenge,3,0.206,0.042436,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,15,job scope,5,,,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,16,group cohesiveness,3,0.281,0.078961,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,17,task interdependence,4,0.069,0.004761,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,18,leader initiating structure,14,0.21,0.0441,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,19,leader consideration,12,0.178,0.031684,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,20,leader communication,4,0.053,0.002809,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,21,participative leadership,3,,,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,22,organizational size,3,0.108,0.011664,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,23,organizational centralization,3,0.234,0.054756,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,24,role ambiguity,21,0.287,0.082369,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,25,role conflict,24,0.222,0.049284,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,26,role overload,5,0.136,0.018496,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,27,motivation (overall),5,,,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,28,motivation (internal),5,0.182,0.033124,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,29,job involvement,20,0.19,0.0361,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,30,stress,16,0.136,0.018496,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,31,occupational commitment,22,0.243,0.059049,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,32,union commitment,5,0.115,0.013225,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,33,overall job satisfaction,43,0.241,0.058081,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,34,job performance: others' ratings,10,0.089,0.007921,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,35,job performance: output measure,6,0.091,0.008281,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,36,perceived job alternatives,7,0.225,0.050625,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,37,intention to search,5,0.177,0.031329,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,38,intention to leave,36,0.181,0.032761,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,39,attendance,23,0.024,0.000576,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,40,lateness,6,0.059,0.003481,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,41,turnover,26,0.138,0.019044,,,Weighted corrected Pearson's r,NA,NA,NA
